osmid,shape
128655630,POINT(-8.5759967 41.1616471)
128655633,POINT(-8.5764055 41.1613361)
128655638,POINT(-8.5792965 41.1597934)
128655642,POINT(-8.5805276 41.1593437)
128655643,POINT(-8.5806482 41.1593488)
128655654,POINT(-8.5829437 41.1588866)
128655660,POINT(-8.5859858 41.1576704)
128655671,POINT(-8.5938657 41.1560823)
128657104,POINT(-8.5645256 41.1671117)
128668277,POINT(-8.6502971 41.1537015)
128668278,POINT(-8.6507378 41.1533918)
128668285,POINT(-8.6516768 41.1524811)
128668299,POINT(-8.6559524 41.1517135)
128668303,POINT(-8.6573042 41.1511072)
128668307,POINT(-8.6606128 41.1505047)
128668309,POINT(-8.6628412 41.1504431)
128668316,POINT(-8.6693944 41.1524312)
128669173,POINT(-8.6498529 41.1541883)
128669175,POINT(-8.6502034 41.1540473)
128672584,POINT(-8.6438478 41.1544954)
128673221,POINT(-8.6271726 41.1523893)
128673222,POINT(-8.628743 41.1524782)
128673223,POINT(-8.6306176 41.1525836)
128674452,POINT(-8.6261136 41.1523141)
128674453,POINT(-8.6245762 41.1527713)
